# H1,H2,H3,H4
0.06,0.93,0.00,0.69
0.19,0.41,0.25,0.42
0.07,0.11,0.30,0.30
0.80,0.58,0.04,0.16
0.03,0.50,0.49,0.71
0.77,0.96,0.14,0.32
0.34,0.26,0.60,0.18
0.28,0.92,0.63,0.65
0.49,0.52,0.51,0.18
0.73,0.75,0.92,0.28
0.57,0.01,0.47,0.96
0.87,0.54,0.77,0.23
0.98,0.29,0.02,0.07
0.73,0.97,0.25,0.09
0.64,0.57,0.21,0.32
0.12,0.95,0.34,0.59
0.53,0.47,0.76,1.00
0.96,0.77,0.07,0.11
0.93,0.49,0.25,0.32
0.72,0.87,0.52,0.85
0.88,0.30,0.83,0.12
0.75,0.33,0.09,0.80
0.32,0.07,0.17,0.11
0.28,0.57,0.42,0.59
0.67,0.62,0.02,0.39
0.93,0.15,0.69,0.73
0.71,0.10,0.35,0.81
0.55,0.79,0.74,0.96
0.34,0.61,0.95,0.36
0.48,0.14,0.68,0.83
0.21,0.96,0.23,0.61
0.21,0.32,0.90,0.90
0.01,0.06,0.91,0.50
0.96,0.78,0.79,0.97
0.17,0.56,0.98,0.22
0.40,0.27,0.97,0.03
0.61,0.51,0.38,0.50
0.15,0.49,0.36,0.48
0.29,0.46,1.00,0.89
0.80,0.19,0.59,0.99
0.18,0.43,0.31,0.31
0.98,0.44,0.26,0.29
0.68,0.44,0.26,0.16
0.91,0.62,0.44,0.15
0.93,0.96,0.75,0.31
0.43,0.09,0.22,0.77
0.45,0.72,0.63,0.11
0.13,0.74,0.80,0.54
0.06,0.06,0.95,0.05
0.85,0.44,0.57,0.93
